"Zaman","DesarjMw","SarjMw","KalanMwh","GerilimMv","PrizdeMi","DesarjEdiyor"
"2026-09-19T18:15:57.0623452+03:00","34476","0","36252","11161","False","True"
"2026-09-19T18:15:58.0899816+03:00","34532","0","36229","11161","False","True"
"2026-09-19T18:15:59.1078977+03:00","34532","0","36229","11161","False","True"
"2026-09-19T18:16:00.1432344+03:00","34666","0","36206","11161","False","True"
"2026-09-19T18:16:01.1683483+03:00","34477","0","36206","11100","False","True"
"2026-09-19T18:16:02.1961657+03:00","35920","0","36195","11100","False","True"
"2026-09-19T18:16:03.2279848+03:00","36078","0","36195","11149","False","True"
"2026-09-19T18:16:04.2472372+03:00","34562","0","36161","11149","False","True"
"2026-09-19T18:16:05.2733843+03:00","34550","0","36161","11145","False","True"
"2026-09-19T18:16:06.3001314+03:00","34628","0","36138","11145","False","True"
"2026-09-19T18:16:07.3261258+03:00","34634","0","36138","11147","False","True"
"2026-09-19T18:16:08.3614325+03:00","34634","0","36115","11147","False","True"
"2026-09-19T18:16:09.3796997+03:00","34612","0","36115","11140","False","True"
"2026-09-19T18:16:10.4084413+03:00","34523","0","36115","11140","False","True"
"2026-09-19T18:16:11.4325496+03:00","34414","0","36104","11105","False","True"
"2026-09-19T18:16:12.4610958+03:00","34414","0","36104","11105","False","True"
"2026-09-19T18:16:13.4968915+03:00","34978","0","36070","11143","False","True"
"2026-09-19T18:16:14.5318092+03:00","34978","0","36070","11143","False","True"
"2026-09-19T18:16:15.5702720+03:00","34543","0","36047","11143","False","True"
"2026-09-19T18:16:16.6113474+03:00","34509","0","36047","11132","False","True"
"2026-09-19T18:16:17.6538750+03:00","34654","0","36035","11132","False","True"
"2026-09-19T18:16:18.7082416+03:00","34660","0","36035","11134","False","True"
"2026-09-19T18:16:19.7422174+03:00","34627","0","36013","11134","False","True"
"2026-09-19T18:16:20.7866867+03:00","34627","0","36013","11134","False","True"
"2026-09-19T18:16:21.8276453+03:00","36252","0","35990","11134","False","True"
"2026-09-19T18:16:22.8695103+03:00","36122","0","35990","11094","False","True"
"2026-09-19T18:16:23.9253023+03:00","35124","0","35967","11094","False","True"
"2026-09-19T18:16:24.9606687+03:00","35234","0","35967","11129","False","True"
"2026-09-19T18:16:26.0046050+03:00","35234","0","35967","11129","False","True"
"2026-09-19T18:16:27.0526851+03:00","34686","0","35944","11128","False","True"
"2026-09-19T18:16:28.0933140+03:00","34686","0","35944","11128","False","True"
"2026-09-19T18:16:29.1451972+03:00","34628","0","35921","11120","False","True"
"2026-09-19T18:16:30.1825295+03:00","34628","0","35921","11120","False","True"
"2026-09-19T18:16:31.2279901+03:00","34550","0","35899","11120","False","True"
"2026-09-19T18:16:32.2690608+03:00","34565","0","35899","11125","False","True"
"2026-09-19T18:16:33.3103353+03:00","35366","0","35876","11125","False","True"
"2026-09-19T18:16:34.3585542+03:00","35233","0","35876","11083","False","True"
"2026-09-19T18:16:35.3907502+03:00","34457","0","35853","11083","False","True"
"2026-09-19T18:16:36.4356582+03:00","34566","0","35853","11118","False","True"
"2026-09-19T18:16:37.4763167+03:00","34655","0","35830","11118","False","True"
"2026-09-19T18:16:38.5244525+03:00","34639","0","35830","11113","False","True"
"2026-09-19T18:16:39.5808844+03:00","34639","0","35830","11113","False","True"
"2026-09-19T18:16:40.6176318+03:00","34664","0","35819","11121","False","True"
