"Zaman","DesarjMw","SarjMw","KalanMwh","GerilimMv","PrizdeMi","DesarjEdiyor"
"2026-09-19T18:13:23.2009290+03:00","20290","0","37324","11601","False","True"
"2026-09-19T18:13:24.2262664+03:00","20236","0","37324","11570","False","True"
"2026-09-19T18:13:25.2440511+03:00","20363","0","37312","11570","False","True"
"2026-09-19T18:13:26.2711373+03:00","20423","0","37312","11604","False","True"
"2026-09-19T18:13:27.3009482+03:00","20585","0","37301","11604","False","True"
"2026-09-19T18:13:28.3243478+03:00","20610","0","37301","11618","False","True"
"2026-09-19T18:13:29.3495995+03:00","20924","0","37289","11618","False","True"
"2026-09-19T18:13:30.3712954+03:00","20875","0","37289","11591","False","True"
"2026-09-19T18:13:31.3879981+03:00","20678","0","37278","11591","False","True"
"2026-09-19T18:13:32.4126956+03:00","20684","0","37278","11594","False","True"
"2026-09-19T18:13:33.4294681+03:00","20684","0","37278","11594","False","True"
"2026-09-19T18:13:34.4552322+03:00","25368","0","37255","11589","False","True"
"2026-09-19T18:13:35.4813438+03:00","25368","0","37255","11589","False","True"
"2026-09-19T18:13:36.5072636+03:00","20570","0","37244","11589","False","True"
"2026-09-19T18:13:37.5445486+03:00","20570","0","37244","11589","False","True"
"2026-09-19T18:13:38.5868947+03:00","21138","0","37232","11589","False","True"
"2026-09-19T18:13:39.6557897+03:00","21160","0","37232","11601","False","True"
"2026-09-19T18:13:40.7105790+03:00","20255","0","37221","11601","False","True"
"2026-09-19T18:13:41.7476645+03:00","20268","0","37221","11608","False","True"
"2026-09-19T18:13:42.8072461+03:00","21974","0","37210","11608","False","True"
"2026-09-19T18:13:43.8666156+03:00","21643","0","37210","11433","False","True"
"2026-09-19T18:13:44.9038979+03:00","21002","0","37198","11433","False","True"
"2026-09-19T18:13:45.9540092+03:00","21318","0","37198","11605","False","True"
"2026-09-19T18:13:46.9925682+03:00","21852","0","37187","11605","False","True"
"2026-09-19T18:13:48.0560186+03:00","21720","0","37187","11535","False","True"
"2026-09-19T18:13:49.0846087+03:00","22309","0","37187","11535","False","True"
"2026-09-19T18:13:50.1170310+03:00","22392","0","37175","11578","False","True"
"2026-09-19T18:13:51.1703830+03:00","22392","0","37175","11578","False","True"
"2026-09-19T18:13:52.2115514+03:00","20867","0","37164","11593","False","True"
"2026-09-19T18:13:53.2421612+03:00","20867","0","37164","11593","False","True"
"2026-09-19T18:13:54.2973259+03:00","21540","0","37141","11593","False","True"
"2026-09-19T18:13:55.3386111+03:00","21547","0","37141","11597","False","True"
"2026-09-19T18:13:56.3899499+03:00","21953","0","37130","11597","False","True"
"2026-09-19T18:13:57.4537321+03:00","21947","0","37130","11594","False","True"
"2026-09-19T18:13:58.5030594+03:00","20243","0","37118","11594","False","True"
"2026-09-19T18:13:59.5608375+03:00","20192","0","37118","11565","False","True"
"2026-09-19T18:14:00.6316111+03:00","20320","0","37107","11565","False","True"
"2026-09-19T18:14:01.6648199+03:00","20336","0","37107","11574","False","True"
"2026-09-19T18:14:02.7227664+03:00","20532","0","37084","11574","False","True"
"2026-09-19T18:14:03.7827981+03:00","20461","0","37084","11534","False","True"
"2026-09-19T18:14:04.8081731+03:00","20127","0","37084","11534","False","True"
"2026-09-19T18:14:05.8458220+03:00","20228","0","37073","11592","False","True"
"2026-09-19T18:14:06.8774143+03:00","20228","0","37073","11592","False","True"
"2026-09-19T18:14:07.9388065+03:00","19947","0","37061","11477","False","True"
"2026-09-19T18:14:09.0010689+03:00","19947","0","37061","11477","False","True"
"2026-09-19T18:14:10.0247932+03:00","19901","0","37050","11477","False","True"
"2026-09-19T18:14:11.0906811+03:00","20090","0","37050","11586","False","True"
"2026-09-19T18:14:12.1429116+03:00","21504","0","37039","11586","False","True"
"2026-09-19T18:14:13.1782921+03:00","21437","0","37039","11550","False","True"
"2026-09-19T18:14:14.2209721+03:00","24036","0","37027","11550","False","True"
"2026-09-19T18:14:15.2724842+03:00","24104","0","37027","11583","False","True"
"2026-09-19T18:14:16.3299210+03:00","20178","0","37016","11583","False","True"
"2026-09-19T18:14:17.3594503+03:00","20125","0","37016","11553","False","True"
"2026-09-19T18:14:18.4294671+03:00","20218","0","37004","11553","False","True"
"2026-09-19T18:14:19.5051824+03:00","20272","0","37004","11584","False","True"
"2026-09-19T18:14:20.5283347+03:00","21164","0","37004","11584","False","True"
"2026-09-19T18:14:21.5787897+03:00","21155","0","36993","11579","False","True"
"2026-09-19T18:14:22.6367769+03:00","21155","0","36993","11579","False","True"
"2026-09-19T18:14:23.6699971+03:00","21334","0","36970","11427","False","True"
"2026-09-19T18:14:24.8041609+03:00","21334","0","36970","11427","False","True"
"2026-09-19T18:14:25.8299365+03:00","26632","0","36959","11574","False","True"
"2026-09-19T18:14:26.8890006+03:00","26632","0","36959","11574","False","True"
"2026-09-19T18:14:27.9333779+03:00","20301","0","36947","11574","False","True"
"2026-09-19T18:14:28.9940117+03:00","20308","0","36947","11578","False","True"
"2026-09-19T18:14:30.0477930+03:00","21431","0","36936","11578","False","True"
"2026-09-19T18:14:31.0885004+03:00","21436","0","36936","11581","False","True"
"2026-09-19T18:14:32.1524728+03:00","20522","0","36925","11581","False","True"
"2026-09-19T18:14:33.2014907+03:00","20520","0","36925","11580","False","True"
"2026-09-19T18:14:34.2191474+03:00","21145","0","36913","11580","False","True"
"2026-09-19T18:14:35.2777137+03:00","20559","0","36913","11259","False","True"
